index,pos,driver,gap,lap no
20,6,Daniel,+5.932,2
20,7,Pierre,+6.550,2
20,8,Lando,+7.486,2
20,9,Alexander,+8.088,2
20,10,Charles,+8.648,2
20,11,Carlos,+9.442,2
20,12,Esteban,+10.010,2
20,13,Kevin,+10.631,2
20,14,Daniil,+11.144,2
20,15,Antonio,+11.592,2
20,16,Romain,+12.131,2
20,17,George,+12.668,2
20,18,Nicholas,+13.368,2
20,19,Kimi,+13.518,2
20,20,Sebastian,+13.815,2
21,1,Valtteri,LEADER,2
21,2,Lewis,+1.079,2
21,3,Max,+2.818,2
21,4,Nico,+4.062,2
21,5,Lance,+4.921,2
21,6,Daniel,+5.932,2
21,7,Pierre,+6.550,2
21,8,Lando,+7.597,2
21,9,Alexander,+8.005,2
21,10,Charles,+8.861,2
21,11,Carlos,+9.706,2
21,12,Esteban,+10.200,2
21,13,Kevin,+10.631,2
21,14,Daniil,+11.144,2
21,15,Antonio,+12.056,2
21,16,Romain,+12.614,2
21,17,George,+13.383,2
21,18,Nicholas,+14.106,2
21,19,Kimi,+14.335,2
21,20,Sebastian,+14.706,2
22,1,Valtteri,LEADER,2
22,2,Lewis,+1.011,2
22,3,Max,+2.878,2
22,4,Nico,+3.990,2
22,5,Lance,+4.912,2
22,6,Daniel,+5.928,2
22,7,Pierre,+6.533,2
22,8,Lando,+7.549,2
22,9,Alexander,+7.957,2
22,10,Charles,+8.861,2
22,11,Carlos,+9.706,2
22,12,Esteban,+10.200,2
22,13,Kevin,+10.919,2
22,14,Daniil,+11.608,2
22,15,Antonio,+12.338,2
22,16,Romain,+12.674,2
22,17,George,+13.626,2
22,18,Nicholas,+14.541,2
22,19,Kimi,+14.757,2
22,20,Sebastian,+15.055,2
23,1,Valtteri,LEADER,2
23,2,Lewis,+0.891,2
23,3,Max,+2.770,2
23,4,Nico,+4.052,2
23,5,Lance,+4.767,2
23,6,Daniel,+5.916,2
23,7,Pierre,+6.565,2
23,8,Lando,+7.547,2
23,9,Alexander,+7.934,2
23,10,Charles,+8.841,2
23,11,Carlos,+9.696,2
23,12,Esteban,+10.275,2
23,13,Kevin,+10.929,2
23,14,Daniil,+11.609,2
23,15,Antonio,+12.338,2
23,16,Romain,+12.676,2
23,17,George,+13.626,2
23,18,Nicholas,+14.541,2
23,19,Kimi,+14.757,2
23,20,Sebastian,+15.055,2
24,1,Valtteri,LEADER,2
24,2,Lewis,+0.894,2
24,3,Max,+2.703,2
24,4,Nico,+3.981,2
24,5,Lance,+4.628,2
24,6,Daniel,+6.144,2
24,7,Pierre,+6.765,2
24,8,Lando,+7.614,2
24,9,Alexander,+8.166,2
24,10,Charles,+9.086,2
24,11,Carlos,+9.895,2
24,12,Esteban,+10.604,2
24,13,Kevin,+10.925,2
24,14,Daniil,+11.579,2
24,15,Antonio,+12.321,2
24,16,Romain,+12.694,2
