index,pos,driver,gap,lap no
41,17,Romain,+15.301,3
41,18,George,+15.953,3
41,19,Antonio,+16.619,3
41,20,Nicholas,+17.655,3
42,1,Lewis,LEADER,3
42,2,Max,+1.616,3
42,3,Lance,+3.534,3
42,4,Valtteri,+4.011,3
42,5,Sergio,+5.048,3
42,6,Alexander,+6.111,3
42,7,Carlos,+7.602,3
42,8,Pierre,+8.646,3
42,9,Charles,+9.324,3
42,10,Lando,+10.223,3
42,11,Sebastian,+10.988,3
42,12,Daniel,+11.887,3
42,13,Daniil,+12.597,3
42,14,Kevin,+13.516,3
42,15,Kimi,+13.936,3
42,16,Esteban,+14.610,3
42,17,Romain,+15.508,3
42,18,George,+16.193,3
42,19,Antonio,+16.619,3
42,20,Nicholas,+17.655,3
43,1,Lewis,LEADER,3
43,2,Max,+1.622,3
43,3,Lance,+3.534,3
43,4,Valtteri,+4.011,3
43,5,Sergio,+5.009,3
43,6,Alexander,+6.122,3
43,7,Carlos,+7.582,3
43,8,Pierre,+8.632,3
43,9,Charles,+9.301,3
43,10,Lando,+10.391,3
43,11,Sebastian,+11.230,3
43,12,Daniel,+12.089,3
43,13,Daniil,+12.597,3
43,14,Kevin,+13.516,3
43,15,Kimi,+13.936,3
43,16,Esteban,+14.610,3
43,17,Romain,+15.508,3
43,18,George,+16.193,3
43,19,Antonio,+16.857,3
43,20,Nicholas,+17.860,3
44,1,Lewis,LEADER,3
44,2,Max,+1.622,3
44,3,Lance,+3.467,3
44,4,Valtteri,+3.880,3
44,5,Sergio,+5.009,3
44,6,Alexander,+6.122,3
44,7,Carlos,+7.568,3
44,8,Pierre,+8.608,3
44,9,Charles,+9.301,3
44,10,Lando,+10.383,3
44,11,Sebastian,+11.205,3
44,12,Daniel,+12.089,3
44,13,Daniil,+12.860,3
44,14,Kevin,+13.768,3
44,15,Kimi,+14.358,3
44,16,Esteban,+14.610,3
44,17,Romain,+15.508,3
44,18,George,+16.193,3
44,19,Antonio,+16.857,3
44,20,Nicholas,+17.860,3
45,1,Lewis,LEADER,3
45,2,Max,+1.631,3
45,3,Lance,+3.359,3
45,4,Valtteri,+3.725,3
45,5,Sergio,+4.914,3
45,6,Alexander,+6.096,3
45,7,Carlos,+7.568,3
45,8,Pierre,+8.608,3
45,9,Charles,+9.276,3
45,10,Lando,+10.370,3
45,11,Sebastian,+11.184,3
45,12,Daniel,+12.069,3
45,13,Daniil,+12.831,3
45,14,Kevin,+13.753,3
45,15,Kimi,+14.351,3
45,16,Esteban,+14.943,3
45,17,Romain,+15.759,3
45,18,George,+16.456,3
45,19,Antonio,+16.857,3
45,20,Nicholas,+17.860,3
46,1,Lewis,LEADER,3
46,2,Max,+1.673,3
46,3,Lance,+3.231,3
46,4,Valtteri,+3.678,3
