overtaker,overtaken,date
hill,berger,1993
hill,irvine,1993
hill,lamy,1993
hill,hakkinen,1993
wendlinger,alboreto,1993
wendlinger,suzuki,1993
wendlinger,badoer,1993
wendlinger,herbert,1993
wendlinger,comas,1993
wendlinger,fittipaldi,1993
wendlinger,patrese,1993
wendlinger,blundell,1993
wendlinger,martini,1993
wendlinger,alesi,1993
wendlinger,lamy,1993
suzuki,barbazza,1993
suzuki,warwick,1993
suzuki,decesaris,1993
suzuki,badoer,1993
suzuki,herbert,1993
suzuki,katayama,1993
suzuki,lehto,1993
suzuki,lehto,1993
suzuki,comas,1993
suzuki,comas,1993
suzuki,blundell,1993
suzuki,irvine,1993
zanardi,suzuki,1993
zanardi,decesaris,1993
zanardi,boutsen,1993
zanardi,boutsen,1993
zanardi,alliot,1993
zanardi,alliot,1993
zanardi,alliot,1993
zanardi,herbert,1993
zanardi,herbert,1993
zanardi,herbert,1993
zanardi,barrichello,1993
zanardi,katayama,1993
zanardi,katayama,1993
zanardi,blundell,1993
zanardi,martini,1993
alesi,boutsen,1993
alesi,alliot,1993
alesi,alliot,1993
alesi,herbert,1993
alesi,barrichello,1993
alesi,barrichello,1993
alesi,katayama,1993
alesi,fittipaldi,1993
alesi,brundle,1993
alesi,wendlinger,1993
alesi,wendlinger,1993
alesi,wendlinger,1993
alesi,martini,1993
alesi,martini,1993
alesi,berger,1993
alesi,berger,1993
alesi,berger,1993
decesaris,alboreto,1993
decesaris,barbazza,1993
decesaris,badoer,1993
decesaris,katayama,1993
decesaris,katayama,1993
decesaris,katayama,1993
decesaris,fittipaldi,1993
badoer,alboreto,1993
badoer,boutsen,1993
badoer,katayama,1993
badoer,comas,1993
alliot,barbazza,1993
alliot,warwick,1993
alliot,boutsen,1993
alliot,zanardi,1993
alliot,zanardi,1993
alliot,zanardi,1993
alliot,martini,1993
blundell,warwick,1993
blundell,decesaris,1993
blundell,herbert,1993
blundell,barrichello,1993
blundell,zanardi,1993
blundell,alesi,1993
blundell,berger,1993
blundell,berger,1993
blundell,berger,1993
senna,alboreto,1993
senna,boutsen,1993
senna,badoer,1993
senna,alliot,1993
senna,herbert,1993
senna,herbert,1993
senna,barrichello,1993
senna,katayama,1993
senna,lehto,1993
senna,schumacher,1993
senna,hill,1993
senna,hill,1993
senna,zanardi,1993
senna,fittipaldi,1993
senna,fittipaldi,1993
senna,patrese,1993
